EmployeeID,First_Name,Last_Name,Phone_Number,Start_Date,End_Date,ShopID,Salary
1,Paige,Molina,+77772867825,2023-02-13,2023-07-04,1,214194
2,Heather,Zuniga,+77775108603,2020-05-25,2020-09-21,8,143158
3,Alicia,Patrick,+77772719583,2023-04-02,2023-04-10,22,355929
4,Olivia,Rodriguez,+77772458591,2020-04-26,2020-08-18,19,291208
5,Shannon,Campbell,+77771533224,2023-04-27,2023-06-29,1,119123
6,James,Chambers,+77774668136,2022-12-01,2023-08-13,8,334951
7,Pamela,Duran,+77771445199,2020-05-16,2023-03-25,18,174248
8,Nicole,Thompson,+77778038374,2019-04-16,2022-06-29,8,305514
9,Audrey,Schroeder,+77775667265,2022-12-29,2023-11-25,1,153707
10,Patricia,Nichols,+77778090293,2022-10-24,2023-07-29,11,215684
11,Lucas,Williams,+77773608513,2022-05-02,2023-05-23,7,246472
12,John,Smith,+77772714803,2022-03-07,2023-01-16,3,269191
13,Darryl,Moore,+77772622631,2019-05-11,2022-02-21,12,250331
14,Daniel,Short,+77775437923,2023-04-03,2023-05-03,2,310870
15,Ryan,Myers,+77779996414,2020-02-01,2023-04-11,4,268461
16,Nancy,Elliott,+77772322047,2021-04-12,2023-11-20,18,223709
17,John,Sutton,+77777067228,2023-07-20,2023-11-15,19,170814
18,Reginald,Parrish,+77772166941,2020-06-07,2021-04-06,2,189484
19,Robin,Cooke,+77775855124,2022-11-25,2023-08-30,3,192049
20,Destiny,Anderson,+77772694522,2018-12-19,2023-08-07,13,215738
21,Karl,Grant,+77778606962,2020-08-17,2023-06-01,21,261277
22,Jeffery,Sawyer,+77773728882,2019-03-02,2020-10-27,12,256264
23,Craig,Mitchell,+77774514944,2023-04-22,2023-08-31,22,209973
24,Travis,Myers,+77772197935,2023-03-30,2023-07-21,20,159725
25,Theresa,Smith,+77779961380,2022-03-27,2022-11-24,24,198351
26,Aaron,Grant,+77773741438,2018-12-26,2021-11-29,15,268943
27,Gina,Romero,+77775528972,2020-08-23,2023-03-25,21,362002
28,Marvin,Sherman,+77774684531,2023-02-20,2023-11-10,22,240017
29,Sharon,Gibbs,+77771938483,2023-01-15,2023-04-25,8,86829
30,Juan,Wade,+77776292423,2020-05-06,2023-07-26,13,210373
31,Michele,Jordan,+77772110460,2023-09-08,2023-11-04,7,367365
32,Jesse,Rice,+77776279418,2023-05-17,2023-07-02,7,331740
33,Deborah,Oconnor,+77777637601,2020-02-25,2023-06-12,21,310570
34,Nicholas,Foster,+77773396987,2020-07-09,2023-09-14,9,143206
35,Christopher,Anderson,+77775137722,2022-01-25,2023-10-02,24,364318
36,Judith,Griffin,+77775408072,2019-07-03,2020-01-12,24,376491
37,Erin,Ellis,+77778187926,2021-03-19,2022-11-20,19,279400
38,Kathleen,Garrett,+77777073292,2022-11-27,2023-03-19,8,142525
39,Pamela,Ray,+77779548432,2020-02-14,2021-08-16,16,117662
40,Mary,Lewis,+77771790481,2020-08-01,2022-01-26,4,150132
41,Thomas,James,+77773684052,2023-10-02,2023-10-18,22,291333
42,Kelly,Davis,+77772065818,2018-12-28,2022-05-19,13,270078
43,James,Vincent,+77778852574,2021-01-11,2022-12-29,17,201813
44,Gary,West,+77771192619,2021-12-12,2023-11-14,22,130058
45,Linda,Flores,+77775476583,2023-04-26,2023-08-13,25,248349
46,Elizabeth,Evans,+77772871534,2018-12-04,2023-01-10,10,297942
47,Brittany,Moore,+77773653446,2019-10-19,2020-07-24,15,71701
48,Alexandra,Small,+77775418934,2022-11-30,2022-12-09,17,163665
49,Larry,Griffin,+77779517485,2021-06-25,2022-01-01,4,226471
50,Jessica,Wiley,+77779517169,2021-02-14,2021-10-29,20,174286
51,Wesley,Williams,+77773564217,2020-12-06,2022-11-17,12,154698
52,Adrian,Colon,+77779897858,2019-11-23,2020-11-30,1,239951
53,Kelly,Bauer,+77779197443,2021-05-03,2023-11-20,1,128650
54,Bradley,Murray,+77777089806,2019-06-29,2022-04-08,10,195541
55,Summer,Cooper,+77771971823,2022-12-21,2023-07-11,8,367458
